Main Value,County,State
22.35,AUTAUGA,Alabama
21.21,BALDWIN,Alabama
23.53,BARBOUR,Alabama
37.21,BIBB,Alabama
31.03,BLOUNT,Alabama
20.0,BULLOCK,Alabama
29.46,BUTLER,Alabama
25.12,CALHOUN,Alabama
27.51,CHAMBERS,Alabama
35.17,CHEROKEE,Alabama
28.16,CHILTON,Alabama
16.13,CHOCTAW,Alabama
18.55,CLARKE,Alabama
27.85,CLAY,Alabama
27.78,CLEBURNE,Alabama
23.19,COFFEE,Alabama
22.37,COLBERT,Alabama
22.22,CONECUH,Alabama
34.69,COOSA,Alabama
34.36,COVINGTON,Alabama
29.73,CRENSHAW,Alabama
25.59,CULLMAN,Alabama
23.1,DALE,Alabama
26.0,DALLAS,Alabama
30.42,DE KALB,Alabama
22.33,ELMORE,Alabama
25.14,ESCAMBIA,Alabama
30.09,ETOWAH,Alabama
29.76,FAYETTE,Alabama
27.62,FRANKLIN,Alabama
31.65,GENEVA,Alabama
25.0,GREENE,Alabama
24.14,HALE,Alabama
25.0,HENRY,Alabama
25.87,HOUSTON,Alabama
24.76,JACKSON,Alabama
24.89,JEFFERSON,Alabama
21.1,LAMAR,Alabama
18.98,LAUDERDALE,Alabama
26.87,LAWRENCE,Alabama
15.09,LEE,Alabama
27.63,LIMESTONE,Alabama
40.0,LOWNDES,Alabama
16.95,MACON,Alabama
28.08,MADISON,Alabama
22.73,MARENGO,Alabama
22.78,MARION,Alabama
28.31,MARSHALL,Alabama
27.8,MOBILE,Alabama
21.28,MONROE,Alabama
24.34,MONTGOMERY,Alabama
27.98,MORGAN,Alabama
32.5,PERRY,Alabama
25.89,PICKENS,Alabama
22.52,PIKE,Alabama
24.55,RANDOLPH,Alabama
28.24,RUSSELL,Alabama
27.55,SHELBY,Alabama
27.65,ST. CLAIR,Alabama
27.14,SUMTER,Alabama
25.19,TALLADEGA,Alabama
22.58,TALLAPOOSA,Alabama
26.54,TUSCALOOSA,Alabama
39.74,WALKER,Alabama
24.1,WASHINGTON,Alabama
26.42,WILCOX,Alabama
21.99,WINSTON,Alabama
17.38,ANCHORAGE,Alaska
7.5,BETHEL,Alaska
7.69,BRISTOL BAY BOROUGH,Alaska
11.11,DILLINGHAM,Alaska
15.7,FAIRBANKS NORTH STAR,Alaska
13.64,HAINES,Alaska
22.22,JUNEAU,Alaska
21.28,KETCHIKAN GATEWAY,Alaska
9.09,KODIAK ISLAND BOROUGH,Alaska
16.78,MATANUSKA-SUSITNA,Alaska
15.63,NOME,Alaska
13.46,SITKA BOROUGH,Alaska
13.64,SKAGWAY-YAKUTAT,Alaska
20.0,SOUTHEAST FAIRBANKS,Alaska
0.0,WADE HAMPTON,Alaska
13.79,YUKON-KOYUKUK,Alaska
16.51,APACHE,Arizona
22.91,COCHISE,Arizona
22.3,COCONINO,Arizona
19.67,GILA,Arizona
16.82,GRAHAM,Arizona
10.71,GREENLEE,Arizona
19.47,LAPAZ,Arizona
27.04,MARICOPA,Arizona
23.79,MOHAVE,Arizona
19.01,NAVAJO,Arizona
23.04,PIMA,Arizona
22.75,PINAL,Arizona
16.18,SANTA CRUZ,Arizona
