state,county,cases,fips,state3
ALABAMA,AUTAUGA,22.35,01001,AL
ALABAMA,BALDWIN,21.21,01003,AL
ALABAMA,BARBOUR,23.53,01005,AL
ALABAMA,BIBB,37.21,01007,AL
ALABAMA,BLOUNT,31.03,01009,AL
ALABAMA,BULLOCK,20.0,01011,AL
ALABAMA,BUTLER,29.46,01013,AL
ALABAMA,CALHOUN,25.12,01015,AL
ALABAMA,CHAMBERS,27.51,01017,AL
ALABAMA,CHEROKEE,35.17,01019,AL
ALABAMA,CHILTON,28.16,01021,AL
ALABAMA,CHOCTAW,16.13,01023,AL
ALABAMA,CLARKE,18.55,01025,AL
ALABAMA,CLAY,27.85,01027,AL
ALABAMA,CLEBURNE,27.78,01029,AL
ALABAMA,COFFEE,23.19,01031,AL
ALABAMA,COLBERT,22.37,01033,AL
ALABAMA,CONECUH,22.22,01035,AL
ALABAMA,COOSA,34.69,01037,AL
ALABAMA,COVINGTON,34.36,01039,AL
ALABAMA,CRENSHAW,29.73,01041,AL
ALABAMA,CULLMAN,25.59,01043,AL
ALABAMA,DALE,23.1,01045,AL
ALABAMA,DALLAS,26.0,01047,AL
ALABAMA,ELMORE,22.33,01051,AL
ALABAMA,ESCAMBIA,25.14,01053,AL
ALABAMA,ETOWAH,30.09,01055,AL
ALABAMA,FAYETTE,29.76,01057,AL
ALABAMA,FRANKLIN,27.62,01059,AL
ALABAMA,GENEVA,31.65,01061,AL
ALABAMA,GREENE,25.0,01063,AL
ALABAMA,HALE,24.14,01065,AL
ALABAMA,HENRY,25.0,01067,AL
ALABAMA,HOUSTON,25.87,01069,AL
ALABAMA,JACKSON,24.76,01071,AL
ALABAMA,JEFFERSON,24.89,01073,AL
ALABAMA,LAMAR,21.1,01075,AL
ALABAMA,LAUDERDALE,18.98,01077,AL
ALABAMA,LAWRENCE,26.87,01079,AL
ALABAMA,LEE,15.09,01081,AL
ALABAMA,LIMESTONE,27.63,01083,AL
ALABAMA,LOWNDES,40.0,01085,AL
ALABAMA,MACON,16.95,01087,AL
ALABAMA,MADISON,28.08,01089,AL
ALABAMA,MARENGO,22.73,01091,AL
ALABAMA,MARION,22.78,01093,AL
ALABAMA,MARSHALL,28.31,01095,AL
ALABAMA,MOBILE,27.8,01097,AL
ALABAMA,MONROE,21.28,01099,AL
ALABAMA,MONTGOMERY,24.34,01101,AL
ALABAMA,MORGAN,27.98,01103,AL
ALABAMA,PERRY,32.5,01105,AL
ALABAMA,PICKENS,25.89,01107,AL
ALABAMA,PIKE,22.52,01109,AL
ALABAMA,RANDOLPH,24.55,01111,AL
ALABAMA,RUSSELL,28.24,01113,AL
ALABAMA,SHELBY,27.55,01117,AL
ALABAMA,ST. CLAIR,27.65,01115,AL
ALABAMA,SUMTER,27.14,01119,AL
ALABAMA,TALLADEGA,25.19,01121,AL
ALABAMA,TALLAPOOSA,22.58,01123,AL
ALABAMA,TUSCALOOSA,26.54,01125,AL
ALABAMA,WALKER,39.74,01127,AL
ALABAMA,WASHINGTON,24.1,01129,AL
ALABAMA,WILCOX,26.42,01131,AL
ALABAMA,WINSTON,21.99,01133,AL
ALASKA,BRISTOL BAY BOROUGH,7.69,02060,AK
ALASKA,KODIAK ISLAND BOROUGH,9.09,02150,AK
ARIZONA,APACHE,16.51,04001,AZ
ARIZONA,COCHISE,22.91,04003,AZ
ARIZONA,COCONINO,22.3,04005,AZ
ARIZONA,GILA,19.67,04007,AZ
ARIZONA,GRAHAM,16.82,04009,AZ
ARIZONA,GREENLEE,10.71,04011,AZ
ARIZONA,MARICOPA,27.04,04013,AZ
ARIZONA,MOHAVE,23.79,04015,AZ
ARIZONA,NAVAJO,19.01,04017,AZ
ARIZONA,PIMA,23.04,04019,AZ
ARIZONA,PINAL,22.75,04021,AZ
ARIZONA,SANTA CRUZ,16.18,04023,AZ
ARIZONA,YAVAPAI,21.18,04025,AZ
ARIZONA,YUMA,22.63,04027,AZ
ARKANSAS,ARKANSAS,13.95,05001,AR
ARKANSAS,ASHLEY,17.75,05003,AR
ARKANSAS,BAXTER,28.43,05005,AR
ARKANSAS,BENTON,20.78,05007,AR
ARKANSAS,BOONE,19.92,05009,AR
ARKANSAS,BRADLEY,17.5,05011,AR
ARKANSAS,CALHOUN,10.53,05013,AR
ARKANSAS,CARROLL,19.31,05015,AR
ARKANSAS,CHICOT,10.84,05017,AR
ARKANSAS,CLARK,21.43,05019,AR
ARKANSAS,CLAY,22.81,05021,AR
ARKANSAS,CLEBURNE,15.83,05023,AR
ARKANSAS,CLEVELAND,17.5,05025,AR
ARKANSAS,COLUMBIA,14.77,05027,AR
ARKANSAS,CONWAY,25.2,05029,AR
ARKANSAS,CRAIGHEAD,16.02,05031,AR
ARKANSAS,CRAWFORD,23.95,05033,AR
ARKANSAS,CRITTENDEN,20.9,05035,AR
ARKANSAS,CROSS,14.14,05037,AR
ARKANSAS,DALLAS,22.73,05039,AR
ARKANSAS,DESHA,10.14,05041,AR
ARKANSAS,DREW,21.59,05043,AR
ARKANSAS,FAULKNER,18.25,05045,AR
ARKANSAS,FRANKLIN,34.44,05047,AR
ARKANSAS,FULTON,15.22,05049,AR
ARKANSAS,GARLAND,16.29,05051,AR
ARKANSAS,GRANT,27.96,05053,AR
ARKANSAS,GREENE,16.67,05055,AR
ARKANSAS,HEMPSTEAD,20.69,05057,AR
ARKANSAS,HOT SPRING,23.03,05059,AR
ARKANSAS,HOWARD,24.73,05061,AR
ARKANSAS,INDEPENDENCE,24.46,05063,AR
ARKANSAS,IZARD,14.81,05065,AR
ARKANSAS,JACKSON,16.19,05067,AR
ARKANSAS,JEFFERSON,23.18,05069,AR
ARKANSAS,JOHNSON,21.82,05071,AR
ARKANSAS,LAFAYETTE,17.5,05073,AR
ARKANSAS,LAWRENCE,21.19,05075,AR
ARKANSAS,LEE,33.33,05077,AR
ARKANSAS,LINCOLN,13.04,05079,AR
ARKANSAS,LITTLE RIVER,18.89,05081,AR
ARKANSAS,LOGAN,24.44,05083,AR
ARKANSAS,LONOKE,23.08,05085,AR
ARKANSAS,MADISON,19.75,05087,AR
ARKANSAS,MARION,17.35,05089,AR
ARKANSAS,MILLER,17.65,05091,AR
ARKANSAS,MISSISSIPPI,19.88,05093,AR
ARKANSAS,MONROE,25.0,05095,AR
ARKANSAS,MONTGOMERY,17.46,05097,AR
ARKANSAS,NEVADA,14.29,05099,AR
ARKANSAS,NEWTON,15.38,05101,AR
ARKANSAS,OUACHITA,19.12,05103,AR
ARKANSAS,PERRY,18.97,05105,AR
ARKANSAS,PHILLIPS,16.85,05107,AR
ARKANSAS,PIKE,13.51,05109,AR
ARKANSAS,POINSETT,25.38,05111,AR
ARKANSAS,POLK,19.72,05113,AR
ARKANSAS,POPE,17.96,05115,AR
ARKANSAS,PRAIRIE,29.41,05117,AR
ARKANSAS,PULASKI,21.55,05119,AR
